Zm00001d000001	 ppo1;polyphenol oxidase1: vegetative meristem cDNA 7C02D02	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012830	Protein BCCIP homolog	[source:homolog]
Zm00001d012831	Cleavage and polyadenylation specificity factor subunit 3-I	[source:homolog]
Zm00001d012832	Ycf20-like protein	[source:homolog]
Zm00001d012834	 der2;derlin2:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012836	hydroxyproline-rich glycoprotein family protein	[source:homolog]
Zm00001d012837	Histone H2A  	 [source: RefGen_v3] 
Zm00001d012838	DCD (Development and Cell Death) domain protein	[source:homolog]
Zm00001d012839	transducin family protein / WD-40 repeat family protein	[source:homolog]
Zm00001d012840	transducin family protein / WD-40 repeat family protein	[source:homolog]
Zm00001d012844	26S proteasome non-ATPase regulatory subunit 12 homolog B	[source:homolog]
Zm00001d012845	Monothiol glutaredoxin-S14 chloroplastic	[source:homolog]
Zm00001d012846	Elongation factor Tu mitochondrial	[source:homolog]
Zm00001d012847	Sec14p-like phosphatidylinositol transfer family protein	[source:homolog]
Zm00001d012848	SAM domain family protein  	 [source: RefGen_v3] 
Zm00001d012849	NAD(P)-binding Rossmann-fold superfamily protein	[source:homolog]
Zm00001d012850	Nucleotide-diphospho-sugar transferase family protein	[source:homolog]
Zm00001d012851	Oligomeric Golgi complex subunit 2	[source:homolog]
Zm00001d012852	RPM1-interacting protein 4	[source:homolog]
Zm00001d012853	B-cell receptor-associated protein 31-like	[source:homolog]
Zm00001d012854	Actin-related protein 2/3 complex subunit 4	[source:homolog]
Zm00001d012855	SWIM zinc finger family protein	[source:homolog]
Zm00001d012856	DNA binding protein	[source:homolog]
Zm00001d012857	DNA-directed RNA polymerases II IV and V subunit 8B	[source:homolog]
Zm00001d012858	Protein prenylyltransferase superfamily protein	[source:homolog]
Zm00001d012859	Hyaluronan / mRNA binding family	[source:homolog]
Zm00001d012861	ALBINO3-like protein 1 chloroplastic	[source:homolog]
Zm00001d012862	Pentatricopeptide repeat-containing protein  chloroplastic	[source:homolog]
Zm00001d012863	Putative ion channel protein CASTOR  	 [source: RefGen_v3] 
Zm00001d012865	LUC7 related protein	[source:homolog]
Zm00001d012866	translocation protein-related	[source:homolog]
Zm00001d012868	 crti3;carotene isomerase3: enclodes carotene isomerase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012869	Shaggy-related protein kinase kappa	[source:homolog]
Zm00001d012877	Retrovirus-related Pol polyprotein LINE-1	[source:homolog]
Zm00001d012878	 rps4;ribosomal protein S4: vegetative meristem cDNA 7C02E04 similar to cytoplasm ribosomal protein	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012880	BTB/POZ domain-containing protein 	[source:homolog]
Zm00001d012881	DPP6 N-terminal domain-like protein	[source:homolog]
Zm00001d012882	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	[source:homolog]
Zm00001d012883	 bige1;big embryo1: mutant causes accelerated leaf and root initiation as well as enlargement of the embryo scutellum	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012884	FAD/NAD(P)-binding oxidoreductase family protein	[source:homolog]
Zm00001d012885	Pi starvation-induced protein  	 [source: RefGen_v3] 
Zm00001d012886	40S ribosomal protein S21  	 [source: RefGen_v3] 
Zm00001d012887	IAA-amino acid hydrolase ILR1	[source:homolog]
Zm00001d012890	Mitochondrial ribosomal protein L27	[source:homolog]
Zm00001d012891	Biotin/lipoate A/B protein ligase family	[source:homolog]
Zm00001d012892	Acyl-CoA-binding domain-containing protein 4	[source:homolog]
Zm00001d012893	Translocase of chloroplast 159 chloroplastic	[source:homolog]
Zm00001d012895	DUF4378 domain protein	[source:homolog]
Zm00001d012896	Expressed protein;  protein	[source:homolog]
Zm00001d012897	Clathrin heavy chain 2	[source:homolog]
Zm00001d012898	Mono-/di-acylglycerol lipase N-terminal;Lipase class 3	[source:homolog]
Zm00001d012899	Cell number regulator 9  	 [source: RefGen_v3] 
Zm00001d012900	Cell number regulator 10  	 [source: RefGen_v3] 
Zm00001d012904	Glutaredoxin family protein	[source:homolog]
Zm00001d012906	Cell number regulator 3  	 [source: RefGen_v3] 
Zm00001d012907	soluble epoxide hydrolase	[source:homolog]
Zm00001d012908	soluble epoxide hydrolase	[source:homolog]
Zm00001d012909	soluble epoxide hydrolase	[source:homolog]
Zm00001d012911	Huntingtin interacting protein K  	 [source: RefGen_v3] 
Zm00001d012913	Chaperone DnaJ-domain superfamily protein	[source:homolog]
Zm00001d012915	methyltransferases	[source:homolog]
Zm00001d012916	Squamosa promoter-binding-like protein 1	[source:homolog]
Zm00001d012917	Carbohydrate-binding X8 domain superfamily protein	[source:homolog]
Zm00001d012918	Flap endonuclease 1	[source:homolog]
Zm00001d012920	ST225	[source:homolog]
Zm00001d012921	Protein LAZ1	[source:homolog]
Zm00001d012922	 rh3;RNA helicase3:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012923	RMUA	[source:homolog]
Zm00001d012924	Non-specific phospholipase C1	[source:homolog]
Zm00001d012925	Anthranilate synthase alpha subunit 2 chloroplastic	[source:homolog]
Zm00001d012928	AT-rich interactive domain-containing protein 2	[source:homolog]
Zm00001d012929	Receptor protein kinase TMK1  	 [source: RefGen_v3] 
Zm00001d012930	Mitochondrial import inner membrane translocase subunit Tim10  	 [source: RefGen_v3] 
Zm00001d012931	Protein kinase protein with tetratricopeptide repeat domain	[source:homolog]
Zm00001d012932	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	[source:homolog]
Zm00001d012933	Mitotic-spindle organizing protein 1A	[source:homolog]
Zm00001d012934	Calmodulin binding protein  	 [source: RefGen_v3] 
Zm00001d012935	Nucleobase-ascorbate transporter 6	[source:homolog]
Zm00001d012936	ribosomal protein L30 family protein	[source:homolog]
Zm00001d012937	Thioesterase superfamily protein	[source:homolog]
Zm00001d012938	D-xylose-proton symporter-like 3 chloroplastic	[source:homolog]
Zm00001d012939	Bowman-Birk type trypsin inhibitor	[source:homolog]
Zm00001d012941	Transcription initiation factor TFIID subunit 7	[source:homolog]
Zm00001d012943	E3 ubiquitin-protein ligase HOS1	[source:homolog]
Zm00001d012947	E3 ubiquitin-protein ligase HOS1	[source:homolog]
Zm00001d012952	Protein VAC14 homolog	[source:homolog]
Zm00001d012953	Protein NRT1/ PTR FAMILY 5.6	[source:homolog]
Zm00001d012954	 ras11B2;ras-related protein11B2:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012955	Fes1A	[source:homolog]
Zm00001d012957	Expansin-A6	[source:homolog]
Zm00001d012958	Protein kinase APK1A chloroplastic	[source:homolog]
Zm00001d012960	Nucleotide-diphospho-sugar transferases superfamily protein	[source:homolog]
Zm00001d012961	Pentatricopeptide repeat-containing protein 	[source:homolog]
Zm00001d012962	Probable protein phosphatase 2C 4	[source:homolog]
Zm00001d012963	Dof zinc finger protein DOF3.6	[source:homolog]
Zm00001d012964	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein	[source:homolog]
Zm00001d012965	zinc knuckle (CCHC-type) family protein	[source:homolog]
Zm00001d012966	Actin-depolymerizing factor 10	[source:homolog]
Zm00001d012967	Zinc finger DNA-binding protein  	 [source: RefGen_v3] 
Zm00001d012968	ZFP16-2  	 [source: RefGen_v3] 
Zm00001d012969	NEDD8-activating enzyme E1 regulatory subunit AXR1	[source:homolog]
Zm00001d012970	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related	[source:homolog]
Zm00001d012971	Aspartic proteinase A1	[source:homolog]
Zm00001d012972	 chi3;chalcone flavanone isomerase3: Similar to chi1; expressed in various tissues, but not root, embryo, or internode (Sekhon et al 2011)	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d012973	Metal ion binding protein  	 [source: RefGen_v3] 
Zm00001d012974	Transducin/WD40 repeat-like superfamily protein	[source:homolog]
Zm00001d012975	Glycine-rich protein A3  	 [source: RefGen_v3] 
Zm00001d012978	40S ribosomal protein S23-2	[source:homolog]
Zm00001d012979	Pentatricopeptide repeat-containing protein  mitochondrial	[source:homolog]
Zm00001d012980	NAD(P)-binding Rossmann-fold superfamily protein	[source:homolog]
Zm00001d012981	NAD(P)-binding Rossmann-fold superfamily protein	[source:homolog]
Zm00001d012982	NAD(P)-binding Rossmann-fold superfamily protein	[source:homolog]
Zm00001d012983	Protein trichome birefringence-like 34	[source:homolog]
Zm00001d012984	Protein FLC EXPRESSOR	[source:homolog]
Zm00001d012985	Glutamate--tRNA ligase chloroplastic/mitochondrial	[source:homolog]
Zm00001d012988	CASP-like protein 4B1	[source:homolog]
Zm00001d012990	Probable inactive purple acid phosphatase 1	[source:homolog]
Zm00001d012991	2-oxoglutarate-dependent dioxygenase family protein	[source:homolog]
Zm00001d012992	40S ribosomal protein S26-3	[source:homolog]
Zm00001d012993	Transcription factor IIS protein	[source:homolog]
Zm00001d012994	Histidine kinase CKI1	[source:homolog]
Zm00001d012996	KH domain-containing protein SPIN1	[source:homolog]
Zm00001d012998	50S ribosomal protein L17 chloroplastic	[source:homolog]
Zm00001d012999	Methylenetetrahydrofolate reductase 2	[source:homolog]
Zm00001d013002	Methylenetetrahydrofolate reductase 2	[source:homolog]
Zm00001d013003	NAC domain-containing protein 2	[source:homolog]
Zm00001d013004	Calcium-binding allergen Ole e 8  	 [source: RefGen_v3] 
Zm00001d013005	RING/U-box superfamily protein	[source:homolog]
Zm00001d013006	DNA gyrase subunit A chloroplastic/mitochondrial	[source:homolog]
Zm00001d013007	 arf1;ADP-ribosylation factor homolog1: cDNA similar to ARF family of GTP binding proteins	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013008	Ribosomal protein  	 [source: RefGen_v3] 
Zm00001d013009	Splicing factor 3B subunit 6-like protein	[source:homolog]
Zm00001d013010	Peptidyl-prolyl cis-trans isomerase  	 [source: RefGen_v3] 
Zm00001d013011	Protein MIZU-KUSSEI 1	[source:homolog]
Zm00001d013012	HIT zinc finger ;PAPA-1-like conserved region	[source:homolog]
Zm00001d013013	Magnesium-chelatase subunit ChlD chloroplastic	[source:homolog]
Zm00001d013014	Triacylglycerol lipase SDP1	[source:homolog]
Zm00001d013015	 sca1;short chain alcohol dehydrogenase1: single copy leaf cDNA, csu149, similar to ts2	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013018	Structural maintenance of chromosomes protein 4	[source:homolog]
Zm00001d013019	Mitochondrial Rho GTPase  	 [source: RefGen_v3] 
Zm00001d013020	hAT transposon superfamily protein	[source:homolog]
Zm00001d013021	 ipt5;isopentenyl transferase5: encodes an isopentenyl transferase	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013022	(+)-neomenthol dehydrogenase	[source:homolog]
Zm00001d013023	Protein GLE1	[source:homolog]
Zm00001d013025	RING/U-box superfamily protein	[source:homolog]
Zm00001d013027	Probable protein phosphatase 2C 55	[source:homolog]
Zm00001d013028	DNA-binding storekeeper protein-related	[source:homolog]
Zm00001d013029	Ubiquitin carboxyl-terminal hydrolase family protein	[source:homolog]
Zm00001d013030	Calcium-dependent protein kinase 7	[source:homolog]
Zm00001d013032	Polygalacturonase QRT2	[source:homolog]
Zm00001d013033	Chaperonin-like RbcX protein	[source:homolog]
Zm00001d013034	40S ribosomal protein S2-1	[source:homolog]
Zm00001d013035	Cycloartenol-C-24-methyltransferase	[source:homolog]
Zm00001d013036	40S ribosomal protein S4-3	[source:homolog]
Zm00001d013037	Cycloartenol-C-24-methyltransferase 1  	 [source: RefGen_v3] 
Zm00001d013038	Cupredoxin superfamily protein	[source:homolog]
Zm00001d013039	 psad1;photosystem I subunit d1: Designated from Zhao,Y.Y. and Bogorad,L. unpublished submission to GenBank	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013040	Cysteine proteinases superfamily protein	[source:homolog]
Zm00001d013041	Cytochrome b-c1 complex subunit 7  	 [source: RefGen_v3] 
Zm00001d013043	 aprl9;adenosine 5'-phosphosulfate reductase-like9:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013045	Brain protein 44-like protein  	 [source: RefGen_v3] 
Zm00001d013046	Lipid phosphate phosphatase delta	[source:homolog]
Zm00001d013047	Serine/threonine-protein phosphatase  	 [source: RefGen_v3] 
Zm00001d013048	 sqs1;squalene synthase1:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013049	Exocyst complex component EXO84B	[source:homolog]
Zm00001d013052	Hydroxyproline O-galactosyltransferase GALT4	[source:homolog]
Zm00001d013053	Probable prolyl 4-hydroxylase 12	[source:homolog]
Zm00001d013054	CLE family OsCLE701 protein; Os07g0194350 protein	[source:homolog]
Zm00001d013055	Vesicle-associated membrane protein 722	[source:homolog]
Zm00001d013056	DEAD-box ATP-dependent RNA helicase 51	[source:homolog]
Zm00001d013057	Actin cross-linking protein	[source:homolog]
Zm00001d013058	RNA-binding (RRM/RBD/RNP motifs) family protein	[source:homolog]
Zm00001d013059	Vacuolar protein sorting-associated protein 35B	[source:homolog]
Zm00001d013060	FHA domain containing protein  	 [source: RefGen_v3] 
Zm00001d013061	Thioredoxin  	 [source: RefGen_v3] 
Zm00001d013063	 ago5c;argonaute5c:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013065	Protein WVD2-like 3	[source:homolog]
Zm00001d013066	Histone H1  	 [source: RefGen_v3] 
Zm00001d013067	Histone H1  	 [source: RefGen_v3] 
Zm00001d013069	Prenylated Rab receptor 2  	 [source: RefGen_v3] 
Zm00001d013070	Transcription factor MYB98	[source:homolog]
Zm00001d013071	Auxin-responsive protein IAA4	[source:homolog]
Zm00001d013072	DUF2361 family protein	[source:homolog]
Zm00001d013073	Transcription factor bHLH7	[source:homolog]
Zm00001d013074	Basic leucine zipper 25	[source:homolog]
Zm00001d013075	Guanylate-binding family protein	[source:homolog]
Zm00001d013076	60S ribosomal protein L4-1	[source:homolog]
Zm00001d013077	Plant Tudor-like RNA-binding protein	[source:homolog]
Zm00001d013078	Bax inhibitor-1 family protein	[source:homolog]
Zm00001d013079	Thioredoxin-like protein 1  	 [source: RefGen_v3] 
Zm00001d013080	Leucine-rich repeat extensin-like protein 6	[source:homolog]
Zm00001d013081	 ppr13;pentatricopeptide repeat13:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013083	5'-3' exoribonuclease 4	[source:homolog]
Zm00001d013084	GTP-binding protein-related	[source:homolog]
Zm00001d013086	40S ribosomal protein S18	[source:homolog]
Zm00001d013087	Acyl-CoA N-acyltransferases (NAT) superfamily protein	[source:homolog]
Zm00001d013089	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	[source:homolog]
Zm00001d013090	Type IV inositol polyphosphate 5-phosphatase 7	[source:homolog]
Zm00001d013091	Cyclin-dependent kinase G-1	[source:homolog]
Zm00001d013092	Ubiquitin-conjugating enzyme E2 2	[source:homolog]
Zm00001d013093	Probable zinc metalloprotease EGY1 chloroplastic	[source:homolog]
Zm00001d013094	 mab17;math-btb17:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013095	Replication factor C subunit 3	[source:homolog]
Zm00001d013097	O-Glycosyl hydrolases family 17 protein	[source:homolog]
Zm00001d013098	 ao2;aldehyde oxidase2:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013099	Probable carboxylesterase 15	[source:homolog]
Zm00001d013100	Myosin-binding protein 7	[source:homolog]
Zm00001d013105	Calcium-dependent protein kinase 20	[source:homolog]
Zm00001d013107	E3 ubiquitin-protein ligase RHF2A	[source:homolog]
Zm00001d013108	BEST Arabidopsis thaliana protein match is: FASCICLIN-like arabinogalactan protein 17 precursor (TAIR:AT5G06390.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; /.../ Eukaryotes - 339 (source: NCBI BLink).	[source:homolog]
Zm00001d013109	 cdpk10;calcium-dependent protein kinase 10:	 [source: characterized gene (MaizeGDB_09082017)]
Zm00001d013110	RING-H2 finger protein ATL70	[source:homolog]
Zm00001d013111	DnaJ protein  	 [source: RefGen_v3] 
Zm00001d013112	IQ-domain 5	[source:homolog]
Zm00001d013113	Expp1 protein  	 [source: RefGen_v3] 
Zm00001d013114	Syntaxin-121	[source:homolog]
Zm00001d013116	Cullin-4	[source:homolog]
Zm00001d013118	Drought and salt tolerance protein; Expressed protein	[source:homolog]
Zm00001d013119	Transcription factor TCP2	[source:homolog]
Zm00001d013120	Cell differentiation Rcd1-like protein	[source:homolog]
Zm00001d013122	Ycf20-like protein	[source:homolog]
Zm00001d013126	 protein; Tyrosine specific protein phosphatase-like	[source:homolog]
Zm00001d013127	Zinc transporter ZTP29	[source:homolog]
Zm00001d013128	AP-1 complex subunit sigma-2	[source:homolog]
Zm00001d013130	Transcription factor PIF4	[source:homolog]
Zm00001d013131	Cell division protein FtsZ homolog 1 chloroplastic	[source:homolog]
Zm00001d013133	Verprolin  	 [source: RefGen_v3] 
Zm00001d013135	Ribose-5-phosphate isomerase  	 [source: RefGen_v3] 
